id,subType,storageID,rarity,carryLimit,unk,sortOrder,flags,iconID,iconColor,carryItem,sellPrice,buyPrice,name,description
0,0,1,0,1,1,1,0,255,0,0,0,0,--------,Invalid Message
1,0,0,0,10,10,2,8,5,2,0,8,66,Potion,Restores a small amount of health.
2,0,0,1,10,10,3,72,5,2,0,16,165,Mega Potion,Restores a moderate amount of health.
3,0,0,2,2,2,4,8,62,4,0,210,2138,Max Potion,Fully restores health and maximizes the size of your Health Gauge.
4,0,0,4,1,1,5,72,62,4,0,345,3454,Ancient Potion,Fully restores health and maximizes the size of your Health and Stamina Gauges.
5,0,0,0,10,10,6,8,5,3,0,6,60,Antidote,A cure for poison.
6,0,0,1,5,5,7,8,62,3,0,25,250,Herbal Medicine,Removes all traces of poison and restores a slight amount of health.
7,0,0,1,10,10,8,12,21,3,0,120,1200,Nulberry,A mysterious berry that cures various blights.
8,0,0,1,10,10,9,8,5,9,0,6,60,Energy Drink,"A Guild-approved beverage that boosts your stamina. Helps shake off sleep, too!"
9,0,0,0,10,10,10,12,7,11,0,3,30,Ration,Food that restores a bit of stamina.
10,0,0,0,10,10,11,12,7,24,0,3,30,Rare Steak,Provides a moderate boost to your stamina. This one's still red in the middle.
11,0,0,1,10,10,12,12,7,7,0,48,96,Well-done Steak,Provides a moderate boost to your stamina and keeps it at max for a longer period. Meat done right!
12,0,0,0,10,10,13,12,7,10,0,1,10,Burnt Meat,Provides a small boost to your stamina. Can be eaten quickly.
13,0,0,0,5,5,14,8,5,0,0,30,300,Cool Drink,Provides temporary relief from extreme heat.
14,0,0,1,5,5,15,8,5,6,0,25,760,Nutrients,Very slightly increases your maximum health level.
15,0,0,2,5,5,16,72,5,6,0,92,920,Mega Nutrients,Slightly increases your maximum health level.
16,0,0,2,10,10,17,8,5,24,0,92,923,Immunizer,Boosts your natural ability to heal.
17,0,0,1,5,5,18,12,7,8,0,10,98,Astera Jerky,"Juicy, dried meat made by Astera's chef. Boosts natural healing and cures bleeding."
18,0,0,1,5,5,19,8,5,4,0,29,293,Dash Juice,Dulls one's sense of exhaustion. Reduces stamina depletion for a time.
19,0,0,2,5,5,20,4168,0,4,0,205,1028,Mega Dash Juice,Lets you dash without tiring for longer than regular dash juice does.
20,0,0,1,10,10,21,12,21,1,0,140,280,Might Seed,Temporarily strengthens your attacks when ingested by improving energy flow.
21,0,0,3,5,5,22,8,5,1,0,67,668,Demondrug,Boosts your attack power by filling you with—guess what?—demonic strength.
22,0,0,4,5,5,23,72,5,1,0,283,2831,Mega Demondrug,Boosts your attack power even more than a regular Demondrug.
23,0,0,3,5,5,24,8,62,1,0,280,2831,Might Pill,Temporarily endows you with the strength of a mighty god. Potent!
24,0,0,1,10,10,25,12,21,7,0,110,220,Adamant Seed,Temporarily raises your defense when ingested by hardening tissue.
25,0,0,3,5,5,26,8,5,7,0,58,578,Armorskin,Boosts your defense by turning your skin as hard as rock.
26,0,0,4,5,5,27,72,5,7,0,269,2696,Mega Armorskin,Boosts your defense even more than a regular armorskin.
27,0,0,3,5,5,28,8,62,7,0,260,2696,Adamant Pill,Temporarily makes your skin as hard as adamant. Potent!
28,0,0,3,3,3,29,8,13,24,0,315,6300,Lifepowder,Produces a healing cloud in the area around the user.
29,0,0,3,3,3,30,8,13,3,0,315,6300,Herbal Powder,A mysterious powder that produces a cloud around the area that restores health and neutralizes poison.
30,0,0,3,3,3,31,8,13,1,0,315,6300,Demon Powder,A mysterious powder that produces a cloud around the area that temporarily strengthens attacks.
31,0,0,3,3,3,32,8,13,7,0,315,6300,Hardshell Powder,A mysterious powder that produces a cloud around the area that temporarily strengthens defense.
32,0,0,1,10,10,33,0,3,7,0,45,90,Honey,Highly nutritious honey. Combine this with Potions to craft Mega Potions for maximum potency.
33,0,0,0,10,10,34,0,4,2,0,2,20,Herb,A primary ingredient in potions.
34,0,0,0,10,10,35,0,4,3,0,2,20,Antidote Herb,A primary ingredient in antidotes.
35,0,0,1,20,20,36,0,4,25,0,4,44,Fire Herb,"A wondrous, flammable plant. Useful for crafting explosives."
36,0,0,0,20,20,37,0,4,15,0,4,44,Flowfern,This plant's leaves store a great amount of water. A component for making Water Ammo.
37,0,0,1,20,20,38,0,4,0,0,6,64,Snow Herb,A plant that radiates ice-cold air. Use in combinations to create freeze ammo.
38,0,0,0,10,10,39,0,4,6,0,5,50,Sleep Herb,A plant containing sleeping agents. Used to craft tranquilizers.
39,0,0,0,10,10,40,0,4,13,0,8,75,Ivy,A lightweight and extremely strong plant. Used to make nets for pitfall traps.
40,0,0,0,10,10,41,0,21,0,0,4,44,Smokenut,A nut that produces a copious amount of smoke. Combine with other items to create smoke with various properties.
41,0,0,3,10,10,42,0,21,14,0,78,780,Dragonfell Berry,"A mysterious berry, rumored for eons to be loathed by dragons. Required to craft Dragon Ammo."
42,0,0,1,10,10,43,0,1,3,0,2,24,Blue Mushroom,A mushroom infused with power-enhancing effects. Used in restorative items.
43,0,0,2,10,5,44,0,1,7,0,40,400,Mandragora,A dangerous fungus said to draw the life out of people. Beware. Required to craft Max Potions.
44,0,0,1,20,20,45,0,1,1,0,6,60,Nitroshroom,A hard-to-find mushroom with the power to generate blazing heat. Required to craft Gunpowder.
45,0,0,1,10,5,46,0,1,14,0,60,600,Devil's Blight,A very rare fungus that pulses with extreme heat. Add to a barrel bomb for a dramatically stronger blast.
46,0,0,2,10,10,47,0,1,9,0,15,150,Parashroom,A mushroom that induces paralysis. Required to craft Tranq Bombs.
47,0,0,1,10,10,48,0,1,5,0,8,75,Toadstool,A poisonous fungus. Can be used as a toxin for knives.
48,0,0,2,10,10,49,0,1,13,0,18,180,Exciteshroom,This one has a very strange aroma. Is it edible? Only one way to find out! Required to craft Farcasters.
49,0,0,0,10,10,51,0,23,3,0,2,20,Bitterbug,A sharp-tasting bug with innate healing abilities. Used as an ingredient in many medicines.
50,0,0,1,10,10,52,0,23,4,0,48,96,Flashbug,An insect that emits a powerful flash when it dies. Required to craft Flash Pods.
51,0,0,3,10,10,53,0,23,0,0,120,320,Godbug,An insect said to live a millennium. Combine it with other items to add their properties to the powder.
52,0,0,3,10,10,54,0,23,9,0,80,300,Thunderbug,An insect that emits electricity when struck. Required to craft Shock Traps and Thunder Ammo.
53,0,0,2,10,10,55,8,29,8,0,2,20,Baitbug,"An insect used as fishing bait. A fish favorite, it practically races down the nearest gilly gullet."
54,0,0,3,99,99,56,0,45,2,0,52,240,Kelbi Horn,"While not practical when forging equipment, Kelbi horns are a vital component of many items."
55,0,0,3,20,20,57,0,5,4,0,56,560,Dash Extract,A mysterious substance culled from certain monsters that increases endurance.
56,0,0,3,20,20,58,0,5,0,0,122,1220,Nourishing Extract,Can be obtained from certain large monsters. Has the ability to amplify the effects of certain medicines.
57,0,0,1,10,10,59,0,13,10,0,15,150,Screamer Sac,A monster organ that emits an earsplitting sonic blast when ruptured. Used to craft screamer pods.
58,0,0,1,5,5,60,0,13,13,0,48,480,Catalyst,Works with other materials to enhance their effects. Cannot be used by itself.
59,0,0,2,8,8,61,8,24,1,0,35,350,Tranq Bomb,A hand grenade used to capture monsters ensnared in traps. Can be slammed against the ground.
60,0,0,1,3,3,62,8,77,4,0,57,572,Flash Pod,Slinger ammo that flashes brightly on impact. Fire it right under a monster's nose to blind it.
61,0,0,1,3,3,63,8,77,10,0,45,450,Screamer Pod,"Used as ammo for your slinger. Emits a harsh, high-frequency sound that can disrupt sensitive monsters."
62,0,0,1,3,3,65,8,24,0,0,44,100,Smoke Bomb,Creates a large cloud of smoke wherever it lands.
63,0,0,1,5,5,66,8,24,5,0,60,600,Poison Smoke Bomb,Releases a toxic cloud of mist when used. Also popular as a household bug bomb.
64,0,0,2,1,1,67,8,24,2,0,30,150,Farcaster,Call for a wingdrake to transport you to the nearest camp. Can also be used during battles.
65,0,0,0,10,10,68,8,7,1,0,5,50,Raw Meat,"Meat carved from a monster. Can be cooked, combined, or used to set a trap."
66,0,0,1,10,10,69,8,7,5,0,19,188,Poisoned Meat,Raw meat that poisons whatever eats it. Makes great bait for traps.
67,0,0,1,10,10,70,8,7,9,0,30,300,Tinged Meat,Raw meat that paralyzes whatever eats it. Makes great bait for traps.
